char,code_aozora,count_aozora,code_news,count_news,code_wikipedia,count_wikipedia
畲,,0.0,,0.0,7572,2.0
畄,7544,7.0,,0.0,7544,2.0
畆,7546,11.0,,0.0,,0.0
畇,,0.0,,0.0,7547,1.0
畈,,0.0,,0.0,7548,1.0
畊,754a,4.0,,0.0,754a,4.0
畋,754b,1.0,,0.0,754b,4.0
畎,754e,4.0,,0.0,,0.0
畏,754f,2799.0,,0.0,754f,261.0
畓,,0.0,,0.0,7553,1.0
畚,755a,145.0,,0.0,,0.0
畛,755b,3.0,,0.0,,0.0
甪,,0.0,,0.0,752a,2.0
甬,,0.0,,0.0,752c,12.0
甯,752f,6.0,,0.0,752f,39.0
䗏,45cf,2.0,,0.0,,0.0
䗑,45d1,6.0,,0.0,,0.0
䗔,45d4,2.0,,0.0,,0.0
䗕,45d5,1.0,,0.0,,0.0
䕼,457c,10.0,,0.0,,0.0
䕽,457d,1.0,,0.0,,0.0
䖀,4580,7.0,,0.0,,0.0
䖂,4582,2.0,,0.0,,0.0
䖃,4583,1.0,,0.0,,0.0
䖇,4587,3.0,,0.0,,0.0
䖋,458b,8.0,,0.0,,0.0
畧,7567,35.0,,0.0,7567,6.0
畩,,0.0,,0.0,7569,1.0
畫,756b,3338.0,,0.0,756b,61.0
畬,756c,1.0,,0.0,756c,1.0
畯,756f,1.0,,0.0,756f,8.0
疇,7587,2021.0,,0.0,7587,209.0
疉,7589,1.0,,0.0,,0.0
疊,758a,2140.0,,0.0,758a,7.0
疋,758b,1867.0,,0.0,758b,148.0
畝,755d,843.0,,0.0,755d,288.0
畡,,0.0,,0.0,7561,5.0
畢,7562,2344.0,,0.0,7562,73.0
畤,7564,8.0,,0.0,7564,12.0
䗄,45c4,1.0,,0.0,,0.0
䗇,45c7,2.0,,0.0,,0.0
䗊,45ca,1.0,,0.0,,0.0
䗌,45cc,1.0,,0.0,,0.0
䗍,45cd,8.0,,0.0,,0.0
當,7576,14965.0,,0.0,7576,266.0
畸,7578,549.0,,0.0,7578,31.0
畹,7579,10.0,,0.0,,0.0
畺,,0.0,,0.0,757a,3.0
另,,0.0,,0.0,53e6,2.0
叨,53e8,20.0,,0.0,,0.0
叭,53ed,567.0,,0.0,53ed,32.0
叮,53ee,707.0,,0.0,,0.0
叉,53c9,2141.0,,0.0,53c9,825.0
俠,,0.0,,0.0,4fe0,101.0
俤,4fe4,774.0,,0.0,4fe4,6.0
俥,4fe5,1523.0,,0.0,4fe5,19.0
